visit-id,duration,assigned orient,nominal orient,ra,dec,start,end,slew,gap
0098101001073,828.0,140.8,138.2188398976356,2.6373354713179906,-0.9978165628189771,2027.004:06:59:00,2027.004:07:16:43,0,0
0098101001085,828.0,140.8,138.0231786361786,2.6412533718784577,-0.9833326571330937,2027.004:07:16:43,2027.004:07:34:25,0,0
0098101001094,828.0,140.8,137.83129632096953,2.645000084728124,-0.9688590779786179,2027.004:07:34:25,2027.004:07:52:07,0,0
0098101001101,828.0,140.8,137.64252410393212,2.6485864890859956,-0.9544024188216124,2027.004:07:52:07,2027.004:08:09:50,0,0
0098101001044,828.0,140.8,137.35762778881315,2.6562540986446774,-1.0288440566335704,2027.004:08:09:50,2027.004:08:27:32,0,0
0098101001060,828.0,140.8,137.18889712900983,2.659928613040954,-1.0142937799547425,2027.004:08:27:32,2027.004:08:45:14,0,0
0098101001074,828.0,140.8,137.02368385472965,2.663434012304916,-0.9997423882044486,2027.004:08:45:14,2027.004:09:02:57,0,0
0098101001086,828.0,140.8,136.86237482891016,2.666781641076704,-0.9851966202928555,2027.004:09:02:57,2027.004:09:20:39,0,0
0098101001095,828.0,140.8,136.7028027231895,2.6699818331599294,-0.970663118167394,2027.004:09:20:39,2027.004:09:38:21,0,0
0098101001030,828.0,140.8,136.21837398152212,2.6806184586702053,-1.0451719026741861,2027.004:09:38:21,2027.004:09:56:03,0,0
0098101001102,828.0,140.8,136.55585361001863,2.6730440642379896,-0.9561484268127602,2027.004:09:56:03,2027.004:10:13:46,0,0
0098101001045,828.0,140.8,136.09525116195414,2.683805597145067,-1.030571593223468,2027.004:10:13:46,2027.004:10:31:28,0,0
0098101001061,828.0,140.8,135.963515400541,2.686841531929064,-1.0159654175272088,2027.004:10:31:28,2027.004:10:49:10,0,0
0098101001106,828.0,140.8,136.4207724274092,2.6759770100517093,-0.9416590427322801,2027.004:10:49:10,2027.004:11:06:53,0,0
0098101001075,828.0,140.8,135.845184110666,2.689736727725504,-1.001360017532839,2027.004:11:06:53,2027.004:11:24:35,0,0
0098101001087,828.0,140.8,135.71692367480722,2.6925006965788087,-0.9867620351877904,2027.004:11:24:35,2027.004:11:42:17,0,0
0098101001103,828.0,140.8,135.45414417326913,2.69766895828761,-0.9576143094589631,2027.004:11:42:17,2027.004:12:00:00,0,0
0098101001096,828.0,140.8,135.6019495013367,2.6951421287742137,-0.9721779669953895,2027.004:12:00:00,2027.004:12:17:42,0,0
0098101001031,828.0,140.8,134.93213895636546,2.7090493922196486,-1.0466119932325537,2027.004:12:17:42,2027.004:12:35:24,0,0
0098101001107,828.0,140.8,135.34922266591178,2.7000884573242128,-0.9430774136377347,2027.004:12:35:24,2027.004:12:53:06,0,0
0098101001046,828.0,140.8,134.84900378699317,2.7115527325101945,-1.0319647538175043,2027.004:12:53:06,2027.004:13:10:49,0,0
0098101001062,828.0,140.8,134.75545582856716,2.7139365686524153,-1.017313296523429,2027.004:13:10:49,2027.004:13:28:31,0,0
0098101001088,828.0,140.8,134.55821086442543,2.7183783370600727,-0.9880239082369819,2027.004:13:28:31,2027.004:13:46:13,0,0
0098101001076,828.0,140.8,134.67301435166837,2.7162092491379,-1.002664166335023,2027.004:13:46:13,2027.004:14:03:56,0,0
0098101001097,828.0,140.8,134.47503833629168,2.7204507410138916,-0.9733988732885273,2027.004:14:03:56,2027.004:14:21:38,0,0
